StationNumber,StationName,Alt,longitude,latitude,County,Address,datatime,Auto
466850,五分山雷達站,756,121.7812,25.0712,新北市,瑞芳區靜安路四段1巷1號,1988/7/1,0
466880,板橋,9.7,121.442,24.9976,新北市,板橋區大觀路二段265巷62號,1972/3/1,0
466900,淡水,19,121.4489,25.1649,新北市,淡水區中正東路42巷6號,1942/1/1,0
466910,鞍部,825.8,121.5297,25.1826,臺北市,北投區陽明山竹子湖路111號,1937/1/1,0
466920,臺北,6.3,121.5149,25.0377,臺北市,中正區公園路64號,1896/01/01,0
466930,竹子湖,607.1,121.5445,25.1621,臺北市,北投區陽明山竹子湖路2號,1937/1/1,0
466940,基隆,26.7,121.7405,25.1333,基隆市,仁愛區港西街6號6樓(海港大樓6樓),1946/1/1,0
466950,彭佳嶼,101.7,122.0797,25.628,基隆市,中正區彭佳嶼,1910/1/1,0
466990,花蓮,16,121.6133,23.9751,花蓮縣,花蓮市花崗街24號,1910/1/1,0
467050,新屋,20.6,121.0475,25.0067,桃園市,新屋區東興路二段946號,2013/7/1,0
467060,蘇澳,24.9,121.8574,24.5967,宜蘭縣,蘇澳鎮港區路1號6樓(蘇澳港行政大樓6樓),1981/7/1,0
467080,宜蘭,7.2,121.7565,24.764,宜蘭縣,宜蘭市力行路150號,1935/1/1,0
467110,金門,47.9,118.2893,24.4073,金門縣,金城鎮金水里西海路一段250號,2004/1/1,0
467300,東吉島,43,119.6675,23.257,澎湖縣,望安鄉東吉村156號,1962/1/1,0
467350,澎湖,10.7,119.5631,23.5655,澎湖縣,馬公市新興路2號,1896/01/01,0
467410,臺南,40.8,120.2048,22.9932,臺南市,中西區公園路21號,1897/01/01,0
