Time(EDT,Latitude,Longitude,Course,kts,mph,feet,Rate,Reporting Facility
Mon 12:23:13 PM,22.458,118.4512,↙ 215°,456,525,"32,000", Level, FlightAware ADS-B (TNN / RCNN)
Mon 12:23:43 PM,22.4042,118.4111,↙ 215°,456,525,"32,000", Level, FlightAware ADS-B (WOT / RCWA)
Mon 12:24:13 PM,22.3526,118.3727,↙ 215°,456,525,"32,000", Level, FlightAware ADS-B (WOT / RCWA)
Mon 12:24:43 PM,22.3002,118.3337,↙ 215°,457,526,"32,000", Level, FlightAware ADS-B (TNN / RCNN)
Mon 12:25:13 PM,22.2462,118.2937,↙ 215°,459,528,"32,000", Level, FlightAware ADS-B (WOT / RCWA)
Mon 12:25:43 PM,22.1971,118.2572,↙ 215°,459,528,"32,000", Level, FlightAware ADS-B (TNN / RCNN)
Mon 12:26:13 PM,22.1422,118.2165,↙ 215°,460,529,"32,000", Level, FlightAware ADS-B (KHH / RCKH)
Mon 12:26:43 PM,22.0913,118.1789,↙ 215°,460,529,"32,000", Level, FlightAware ADS-B (TNN / RCNN)
Mon 12:27:13 PM,22.0384,118.1397,↙ 215°,460,529,"32,000", Level, FlightAware ADS-B (TNN / RCNN)
Mon 12:27:43 PM,21.9829,118.0987,↙ 215°,462,532,"32,000", Level, FlightAware ADS-B (TNN / RCNN)
Mon 12:28:13 PM,21.933,118.0618,↙ 215°,462,532,"32,000", Level, FlightAware ADS-B (TNN / RCNN)
Mon 12:28:43 PM,21.8804,118.023,↙ 215°,462,532,"32,000", Level, FlightAware ADS-B (TNN / RCNN)
Mon 12:29:14 PM,21.8233,117.9809,↙ 215°,462,532,"32,000", Level, FlightAware ADS-B (TNN / RCNN)
Mon 12:30:03 PM,21.7387,117.9186,↙ 215°,465,535,"32,000", Level, FlightAware ADS-B (CYI / RCKU)
Mon 12:30:44 PM,21.6664,117.8655,↙ 215°,465,535,"32,000", Level, FlightAware ADS-B (TNN / RCNN)
Mon 12:31:14 PM,21.6136,117.8267,↙ 214°,463,533,"32,000", Level, FlightAware ADS-B (TNN / RCNN)
Mon 12:31:44 PM,21.5593,117.7869,↙ 214°,463,533,"32,000", Level, FlightAware ADS-B (TNN / RCNN)
Mon 12:32:14 PM,21.5058,117.7476,↙ 214°,464,534,"32,000", Level, FlightAware ADS-B (TNN / RCNN)
Mon 12:32:44 PM,21.4529,117.7089,↙ 215°,465,535,"32,000", Level, FlightAware ADS-B (TNN / RCNN)
Mon 12:33:15 PM,21.3973,117.6677,↙ 217°,464,534,"32,000", Level, FlightAware ADS-B (TNN / RCNN)
Mon 12:33:57 PM,21.3301,117.6039,↙ 226°,463,533,"32,000", Level, FlightAware ADS-B (CYI / RCKU)
Mon 12:34:30 PM,21.2834,117.5455,↙ 231°,461,531,"32,000", Level, FlightAware ADS-B (WOT / RCWA)
Mon 12:35:03 PM,21.2457,117.4856,↙ 239°,461,531,"32,000", Level, FlightAware ADS-B (CYI / RCKU)
Mon 12:35:32 PM,21.2165,117.426,↙ 245°,460,529,"32,000", Level, FlightAware ADS-B (TNN / RCNN)
Mon 12:36:08 PM,21.1892,117.3496,← 253°,459,528,"32,000", Level, FlightAware ADS-B (TNN / RCNN)
Mon 12:36:41 PM,21.1726,117.2771,← 260°,460,529,"32,000", Level, FlightAware ADS-B (TNN / RCNN)
